id,Nombre,Origen,Mitologia,Tipo,Descripcion,Poderes,Lore
11,Dioniso,Mediterráneo,Griega,Dios,Dios del vino y el éxtasis,Control de la vid; inducir locura; inmortalidad; transformación,"Dioniso fue el único dios olímpico nacido de madre mortal, Sémele, quien murió fulminada al ver la verdadera forma de Zeus. Zeus rescató al bebé y lo cosió en su propio muslo hasta que estuvo listo para nacer. Dioniso descubrió la vid y el vino, y viajó por el mundo enseñando su cultivo. Sus seguidores las Ménades entraban en éxtasis místico en sus rituales. Fue el último en llegar al Olimpo pero el más amado por los mortales."
12,Deméter,Mediterráneo,Griega,Diosa,Diosa de la agricultura y las cosechas,Control de la vegetación; fertilidad de la tierra; inmortalidad,"Deméter, diosa de la cosecha, sufrió la más devastadora pérdida cuando Hades rapió a su hija Perséfone. Abandonando sus deberes divinos, vagó por la tierra disfrazada de anciana buscándola. La tierra se volvió estéril y los humanos comenzaron a morir de hambre hasta que Zeus intervino y negoció el regreso parcial de Perséfone. Desde entonces el ciclo de las estaciones representa el duelo y la alegría de Deméter."
13,Hades,Mediterráneo,Griega,Dios,Señor del inframundo,Control sobre los muertos; invisibilidad con su yelmo; inmortalidad,"Hades recibió el inframundo cuando los hermanos olímpicos dividieron el cosmos. Un dios silencioso y severo, raramente abandonaba su reino subterráneo. Enamorado de Perséfone, la raptó con permiso secreto de Zeus y la llevó a su oscuro palacio. No era malvado sino justo: administraba el destino de todos los muertos con imparcialidad. Su yelmo de invisibilidad era más poderoso que cualquier arma."
14,Perséfone,Mediterráneo,Griega,Diosa,Reina del inframundo y diosa de la primavera,Conexión con la vida y la muerte; control sobre las plantas; inmortalidad,Perséfone fue raptada mientras recogía flores en un prado cuando la tierra se abrió y Hades emergió en su carro. Obligada a comer semillas de granada en el inframundo quedó atada a ese reino por un tercio del año. Cuando regresa a la superficie su madre Deméter hace florecer la primavera y cuando vuelve al submundo llega el invierno. Se convirtió en una poderosa reina de los muertos por derecho propio.
15,Hestia,Mediterráneo,Griega,Diosa,Diosa del hogar y el fuego sagrado,Control del fuego sagrado; protección del hogar; inmortalidad,"Hestia fue la primera hija de Cronos devorada por él y por tanto la última en ser liberada, siendo así la más joven y la más anciana de los olímpicos. Renunció voluntariamente a su lugar entre los doce olímpicos para evitar conflictos entre Apolo y Poseidón que ambicionaban el puesto. Se dedicó a mantener el fuego sagrado del Olimpo. Cada hogar y cada ciudad tenía un altar a Hestia como garantía de paz y sustento."
16,Hipnos,Mediterráneo,Griega,Dios,Dios del sueño hermano de Tánatos,Inducir sueño; control de los sueños; invisibilidad; inmortalidad,"Hipnos habitaba en una cueva en la tierra de los Cimerios donde el sol nunca brillaba, rodeada de flores de adormidera. El río Leteo fluía murmurando junto a su morada induciendo el olvido. En una ocasión Hera lo sobornó con la promesa de casarlo con una de las Gracias para que durmiera a Zeus durante la batalla de Troya permitiendo que los griegos avanzaran. Hipnos era tan poderoso que podía dormir incluso a los dioses del Olimpo."
17,Tánatos,Mediterráneo,Griega,Dios,Dios de la muerte hermano de Hipnos,Llevar almas a la muerte; invisibilidad; presencia mortal; inmortalidad,"Tánatos personificaba la muerte apacible y natural, distinta de la violencia de Ares. Hermano gemelo de Hipnos, ambos eran hijos de Nix, la Noche. Vivía en el inframundo y llevaba las almas de los muertos con suavidad. El héroe Sísifo lo engañó encadenándolo, impidiendo que muriera nadie en la tierra hasta que Ares liberó a Tánatos. Otra vez Alcestis ofreció su vida por su esposo Admeto, y Heracles luchó con Tánatos para liberarla."
18,Eros,Mediterráneo,Griega,Dios,Dios del amor y el deseo,Flechas del amor; control del deseo; vuelo; inmortalidad,"Eros, dios del deseo amoroso, era representado como un niño alado con arco y flechas de oro que encendían el amor y de plomo que lo apagaban. Según Hesíodo era una de las fuerzas primordiales del universo anterior incluso a los dioses. En el mito de Psique, Eros se enamoró de una mortal de belleza incomparable que despertó los celos de Afrodita. Tras superar pruebas imposibles, Psique fue inmortalizada y pudo unirse eternamente con Eros."
19,Némesis,Mediterráneo,Griega,Diosa,Diosa de la venganza y la justicia divina,Retribución divina; equilibrio del destino; inmortalidad,Némesis era la personificación del equilibrio divino que corregía los excesos de fortuna y la arrogancia humana. Perseguía a quienes presumían demasiado de su suerte o desafiaban a los dioses. Se la representaba con una rueda de la fortuna y una balanza. El mito de Narciso es quizás su obra más famosa: al castigar la soberbia del joven que rechazaba a todos los amantes lo hizo enamorarse de su propio reflejo hasta morir de amor imposible.
20,Nike,Mediterráneo,Griega,Diosa,Diosa de la victoria,Otorgar la victoria; vuelo; velocidad; inmortalidad,"Nike era la personificación de la victoria en todos los campos, desde la guerra hasta los juegos atléticos. Hija de la titanesa Estigia y del titán Palas, se alió con Zeus en la Titanomaquia volando junto a él llevando su corona de laurel. Era inseparable de Atenea y se la representaba posándose sobre los hombros de los guerreros victoriosos. Su imagen alada fue inmortalizada en la célebre estatua de Samotracia y más tarde en el logotipo deportivo más reconocible del mundo."
21,Tyché,Mediterráneo,Griega,Diosa,Diosa de la fortuna y el azar,Control del destino; fortuna y desgracia; azar; inmortalidad,"Tyché era la diosa del azar y la fortuna, caprichosa y voluble por naturaleza. Se la representaba con una cornucopia simbolizando la abundancia que podía otorgar o retirar sin motivo aparente. Las ciudades del mundo antiguo la adoraban como su protectora particular, cada una con su propia Tyché tutelar. En la filosofía estoica se discutió mucho si la fortuna era real o si todo seguía un orden racional del cosmos. Los romanos la llamaron Fortuna."
22,Asclepio,Mediterráneo,Griega,Dios,Dios de la medicina y la curación,Curación sobrenatural; resurrección de muertos; conocimiento médico infinito,"Asclepio aprendió el arte de la medicina de Quirón el centauro. Tan hábil se volvió que consiguió resucitar muertos usando la sangre de la Gorgona que le entregó Atenea. Zeus, temiendo que los mortales escaparan de la muerte por completo, lo fulminó con un rayo. Apolo vengó a su hijo matando a los Cíclopes forjadores del rayo y fue desterrado temporalmente del Olimpo. El bastón de Asclepio con su serpiente enroscada es hoy símbolo universal de la medicina."
23,Hécate,Mediterráneo,Griega,Diosa,Diosa de la magia la luna y las encrucijadas,Magia poderosa; necromancia; visión en la oscuridad; tres formas,"Hécate era una diosa antigua anterior a los olímpicos, titanesa de triple forma que presidía los cruces de caminos, la magia y el mundo de los muertos. Se la representaba con tres cabezas o tres cuerpos mirando en distintas direcciones. Portaba antorchas y la acompañaban perros negros. Fue la única que ayudó a Deméter a buscar a Perséfone guiando su camino con sus teas. Las brujas y hechiceras la invocaban en sus rituales nocturnos."
24,Eolo,Mediterráneo,Griega,Dios,Guardián de los vientos,Control de todos los vientos; custodia en isla flotante; inmortalidad,"Eolo vivía en la isla flotante de Eolia con sus doce hijos, seis varones y seis hembras casados entre sí. Guardaba los vientos en grandes pellejos de cuero y los liberaba según la voluntad de los dioses. Cuando Odiseo llegó a su isla de regreso a Ítaca, Eolo le regaló una bolsa que contenía todos los vientos desfavorables para garantizar su viaje. Pero la curiosidad de la tripulación la abrió creyendo que contenía oro y los vientos desatados empujaron las naves de vuelta al punto de partida."
25,Morfeo,Mediterráneo,Griega,Dios,Dios de los sueños hijo de Hipnos,Crear sueños; metamorfosis; acceso a todos los durmientes; inmortalidad,"Morfeo podía adoptar la forma de cualquier ser humano en los sueños, haciendo que sus visiones fueran indistinguibles de la realidad. Vivía junto a su padre Hipnos en la oscuridad del sueño. Hermes y las Musas eran sus aliados creativos. Los poetas invocaban a Morfeo para recibir inspiración durante el sueño. Su nombre dio origen a la morfina, el potente analgésico que como él lleva a los enfermos a un estado de placidez onírica."
26,Prometeo,Mediterráneo,Griega,Titán,Titán que robó el fuego para darlo a los humanos,Inmortalidad; regeneración del hígado; profecía; sabiduría,"Prometeo era el más inteligente de los titanes y el mayor benefactor de la humanidad. Robó el fuego sagrado del Olimpo en un tallo de hinojo hueco y lo entregó a los humanos. Zeus lo encadenó a una roca del Cáucaso donde un águila le devoraba el hígado cada día, que se regeneraba cada noche para repetir el tormento eternamente. Heracles lo liberó finalmente matando el águila. Prometeo conocía una profecía que amenazaba a Zeus y la guardó en silencio como su último poder."
27,Cronos,Mediterráneo,Griega,Titán,Rey de los titanes padre de los dioses olímpicos,Control del tiempo; fuerza titánica; devorar dioses; inmortalidad,"Cronos fue el más poderoso de los titanes y el último en gobernar antes de los olímpicos. Se apoderó del trono castrando a su padre Urano con una hoz de adamantino. Luego una profecía le reveló que sería derrocado por su propio hijo, así que devoró a cada uno al nacer. Rea lo engañó con Zeus, quien creció y le administró un emético haciéndolo regurgitar a sus hermanos. Tras la Titanomaquia, Cronos fue confinado en el Tártaro aunque algunas versiones lo ubican gobernando las Islas de los Bienaventurados."
28,Atlas,Mediterráneo,Griega,Titán,Titán condenado a cargar el cielo sobre sus hombros,Fuerza titánica para sostener el cielo; resistencia infinita; inmortalidad,"Atlas lideró a los titanes en la guerra contra los olímpicos. Como castigo por su rebelión, Zeus lo condenó a cargar el cielo sobre sus hombros en el extremo occidental del mundo para toda la eternidad. Perseo lo liberó brevemente convirtiéndolo en la cordillera del Atlas mostrándole la cabeza de Medusa. Heracles lo engañó durante su undécimo trabajo tomando temporalmente su carga mientras el titán iba a buscar las manzanas de oro de las Hespérides."
29,Gea,Mediterráneo,Griega,Diosa,Diosa primordial de la Tierra,Creación de vida; control de la tierra; madre de titanes y gigantes,"Gea surgió del Caos primordial junto a Eros y el Erebo. Por sí sola engendró al Cielo, el Mar y las Montañas. Con Urano tuvo a los titanes, los Cíclopes y los Hecatónquiros. Cuando Urano ocultó a sus hijos en las profundidades de la tierra ella le entregó a Cronos la hoz para castrarlo. Luego animó a los gigantes a rebelarse contra los olímpicos cuando estos encarcelaron a sus hijos titanes. Era la madre y sustento de toda vida sobre la Tierra."
30,Hércules,Mediterráneo,Griega,Héroe,El más grande de los héroes griegos hijo de Zeus,Fuerza sobrehumana; resistencia extrema; semidiós inmortalizado,"Heracles fue fruto de la unión de Zeus con la mortal Alcmena. Hera, celosa, envió serpientes para matarlo en su cuna pero el bebé las estranguló con sus propias manos. Enloquecido por Hera mató a su propia familia y como penitencia se le impusieron los Doce Trabajos imposibles. Capturó bestias míticas, limpió establos descomunales, robó manzanas doradas y descendió al inframundo. Al morir fue inmortalizado en el Olimpo reconciliándose finalmente con Hera."
31,Aquiles,Mediterráneo,Griega,Héroe,El guerrero más grande de la Guerra de Troya,Invulnerabilidad casi total; velocidad y fuerza sobrehumanas; habilidad marcial suprema,"Aquiles era el más grande de los guerreros griegos y protagonista de la Ilíada de Homero. Su madre Tetis lo bañó en el río Estigia haciéndolo invulnerable excepto en el talón por donde lo sostuvo. Se retiró del combate por el agravio de Agamenón pero volvió furioso tras la muerte de su amigo Patroclo. Mató a Héctor vengando a su compañero. Murió cuando Paris guiado por Apolo le disparó una flecha al talón, su único punto débil."
32,Odiseo,Mediterráneo,Griega,Héroe,Rey de Ítaca y el más astuto de los griegos,Inteligencia y astucia supremas; liderazgo; habilidad con el arco,"Odiseo fue el cerebro detrás de la victoria griega en Troya ideando el caballo de madera que permitió infiltrar soldados en la ciudad. Su regreso a Ítaca duró diez años llenos de aventuras: cegó al Cíclope Polifemo, resistió el canto de las Sirenas atado al mástil, evitó los peligros de Escila y Caribdis y sobrevivió al naufragio en la isla de la ninfa Calipso. La Odisea de Homero es una de las obras literarias más influyentes de la historia."
33,Perseo,Mediterráneo,Griega,Héroe,Héroe que mató a Medusa,Vuelo con sandalias aladas; invisibilidad con yelmo de Hades; habilidad marcial,"Perseo fue enviado por el rey Polidectes a matar a Medusa con la esperanza de que muriera en el intento. Atenea y Hermes le dieron las herramientas: el escudo de bronce como espejo para no mirar directamente a Medusa, la espada curva de adamantino y las sandalias aladas. Mirándola reflejada en el escudo la decapitó. Con su cabeza convirtió en piedra al monstruo marino que amenazaba a Andrómeda y finalmente al propio Polidectes."
34,Teseo,Mediterráneo,Griega,Héroe,Fundador mítico de Atenas y matador del Minotauro,Fuerza y agilidad excepcionales; liderazgo; valentía extraordinaria,"Teseo creció con su madre en Trecén sin conocer a su padre Egeo rey de Atenas. Al llegar a la madurez levantó la roca bajo la que su padre había escondido una espada y sandalias. Viajó a Atenas matando a varios bandidos en el camino. Luego se ofreció como parte del tributo enviado al Minotauro, mató a la bestia en el laberinto gracias al hilo de Ariadna y olvidó cambiar las velas negras por blancas, causando la muerte de su padre."
35,Jasón,Mediterráneo,Griega,Héroe,Líder de los Argonautas en busca del Vellocino de Oro,Liderazgo heroico; habilidad en navegación; valentía; astucia,Jasón era el legítimo heredero de Yolco pero su tío Pelias usurpó el trono y lo envió a buscar el Vellocino de Oro pensando que moriría en el intento. Jasón reunió a los mayores héroes de Grecia los Argonautas y navegaron en el Argo hasta la lejana Cólquide. Con la ayuda de la hechicera Medea superó pruebas imposibles y obtuvo el vellocino. Al regreso traicionó a Medea causando una de las más terribles venganzas de la mitología.
36,Orfeo,Mediterráneo,Griega,Héroe,Músico que descendió al inframundo por su amada,Música que encanta animales plantas y rocas; persuasión sobrenatural,"Orfeo era el músico más dotado que jamás existió, hijo del dios Apolo y la musa Calíope. Su lira encantaba no solo a humanos y animales sino también a las piedras y los árboles. Cuando su amada Eurídice murió picada por una serpiente descendió al inframundo tocando su lira. Hades y Perséfone conmovidos le permitieron llevarla de vuelta con la única condición de no mirar atrás. A punto de salir, Orfeo no pudo resistir volverse y la perdió para siempre."
37,Medusa,Mediterráneo,Griega,Criatura,Gorgona cuya mirada petrificaba,Mirada petrificante; cabellera de serpientes vivas; vuelo,Medusa fue una de las tres Gorgonas y la única mortal entre ellas. Según Ovidio era originalmente una hermosa sacerdotisa de Atenea pero fue violada por Poseidón en el templo de la diosa. Atenea furiosa la castigó a ella transformando su cabello en serpientes y su mirada en poder petrificante. Perseo la decapitó y de su cuello brotaron Pegaso y el gigante Crisaor. Su cabeza siguió siendo útil a Perseo como arma para convertir enemigos en piedra.
38,Minotauro,Mediterráneo,Griega,Criatura,Ser con cuerpo humano y cabeza de toro,Fuerza colosal; resistencia extrema; instinto salvaje,"El Minotauro nació de la unión entre Pasífae, esposa del rey Minos de Creta, y un magnífico toro blanco que Poseidón había enviado. Minos debía sacrificar el toro pero lo guardó para sí y Poseidón se vengó haciendo que Pasífae se enamorara del animal. El artesano Dédalo construyó una vaca de madera para que Pasífae se ocultara. La criatura resultante fue encerrada en el laberinto que el propio Dédalo diseñó y cada nueve años se le enviaban catorce jóvenes atenienses como tributo."
39,Cerbero,Mediterráneo,Griega,Criatura,Perro de tres cabezas guardián del inframundo,Tres cabezas; cola de serpiente; inmortalidad; guardián infranqueable,"Cerbero era el guardián infernal que impedía que los vivos entraran al reino de los muertos y los muertos escaparan. Sus tres cabezas se turnaban para vigilar la entrada del inframundo. Orfeo lo hechizó con su música, la sacerdotisa Sibila lo adormeció con miel y adormidera, y Heracles lo sometió en su duodécimo trabajo llevándolo brevemente ante Euristeo antes de devolverlo. Algunas versiones le dan cincuenta cabezas o incluso cien."
40,Hidra de Lerna,Mediterráneo,Griega,Criatura,Serpiente de múltiples cabezas regenerativas,Regeneración de cabezas; veneno letal; múltiples cabezas,"La Hidra de Lerna era una serpiente acuática de múltiples cabezas que vivía en los pantanos de Lerna. Por cada cabeza que Heracles le cortaba brotaban dos nuevas. Heracles descubrió que debía cauterizar cada herida con fuego para impedir la regeneración. Lo hizo con la ayuda de su sobrino Iolao que sostenía las antorchas. La última cabeza era inmortal así que la enterró bajo una roca enorme. Heracles envenenó sus flechas con la sangre de la Hidra, lo cual causaría su propia muerte más tarde."
41,Pegaso,Mediterráneo,Griega,Criatura,Caballo alado nacido de la sangre de Medusa,Vuelo; velocidad aérea extraordinaria; origen divino,"Pegaso nació de la sangre de Medusa al ser decapitada por Perseo. El caballo alado fue domado por el héroe Belerofonte usando una brida dorada que le regaló Atenea. Juntos mataron a la Quimera. Envanecido, Belerofonte intentó volar hasta el Olimpo pero Zeus envió un tábano que picó a Pegaso haciéndole caer. Pegaso llegó solo al Olimpo donde Zeus lo puso a su servicio para llevar los rayos. Finalmente fue transformado en la constelación que lleva su nombre."
42,Esfinge,Mediterráneo,Griega,Criatura,Ser con cuerpo de león alas de águila y cabeza humana,Adivinanzas letales; vuelo; fuerza de león,"La Esfinge griega fue enviada por Hera para castigar a Tebas. Se posó en una roca cercana a la ciudad y devolvía como tributo a todo viajero que no pudiera responder su enigma: qué ser camina en cuatro patas por la mañana en dos al mediodía y en tres al atardecer. Edipo respondió que el ser humano y la Esfinge se arrojó desde su roca destrozándose. Edipo entró a Tebas como héroe, se casó con la reina viuda sin saber que era su propia madre y se cumplió así la profecía que intentaba evitar."
43,Quimera,Mediterráneo,Griega,Criatura,Monstruo con partes de león cabra y serpiente,Aliento de fuego; fuerza combinada de múltiples animales,La Quimera era un monstruo que asolaba la región de Licia escupiendo fuego y devorando ganado y personas. Nadie había podido matarla pues se creía imposible de vencer. El rey Iobates envió al héroe Belerofonte a eliminarla esperando que el monstruo lo matara. Belerofonte montado en Pegaso atacó desde el aire esquivando el fuego. Clavó en la boca del monstruo un trozo de plomo en la punta de su lanza y el calor del fuego lo derritió asfixiando a la bestia desde dentro.
44,Cíclope,Mediterráneo,Griega,Criatura,Gigante de un solo ojo forjador de rayos,Fuerza titánica; habilidad en forja; resistencia sobrehumana,"Los Cíclopes originales eran tres hermanos divinos hijos de Urano y Gea: Brontes el Trueno, Estéropes el Relámpago y Arges la Luz. Encadenados por Urano liberados por Cronos y encadenados de nuevo en el Tártaro fueron finalmente liberados por Zeus quien los puso a forjar sus armas divinas. Los Cíclopes de la Odisea eran una raza diferente y más salvaje. Polifemo el hijo de Poseidón fue cegado por Odiseo con una estaca ardiente."
45,Sirena,Mediterráneo,Griega,Criatura,Ser mitad mujer mitad pájaro con canto irresistible,Canto hipnótico mortal; vuelo; seducción sobrenatural,Las Sirenas en la mitología griega original no eran sirenas marinas sino seres mitad mujer mitad pájaro. Eran compañeras de Perséfone y cuando esta fue raptada pidieron alas para buscarla. Su canto era tan hermoso y tan mortal que los marineros al escucharlo perdían el juicio y sus barcos naufragaban. Orfeo superó su canto tocando su lira con más belleza todavía. Odiseo se ató al mástil de su barco para escucharlas sin poder actuar mientras sus remeros avanzaban con los oídos tapados con cera.
46,Escila,Mediterráneo,Griega,Criatura,Monstruo marino de seis cabezas devorador de marineros,Seis cabezas devoradoras; inmortalidad; control de corrientes,Escila fue una hermosa ninfa transformada en monstruo por los celos de Circe o de Anfítrite según las versiones. El monstruo resultante tenía doce patas y seis cabezas con tres hileras de dientes cada una y vivía en una cueva frente a Caribdis en un estrecho angosto. Cuando los barcos pasaban por allí debían elegir entre los remolinos de Caribdis o las cabezas de Escila. Odiseo eligió pasar por Escila perdiendo seis marineros pero salvando el barco.
47,Caribdis,Mediterráneo,Griega,Criatura,Monstruo marino que crea remolinos devastadores,Crear remolinos gigantes; absorber barcos enteros; inmortalidad,"Caribdis era un remolino monstruoso que tragaba enormes cantidades de agua tres veces al día creando vórtices capaces de hundir barcos enteros y luego la vomitaba de nuevo. Se la personificaba como un ser que vivía bajo una higuera en la roca. Odiseo la evitó pegándose a la pared de roca donde vivía Escila al pasar el estrecho. Cuando el dios del sol destruyó el barco de Odiseo por el sacrilegio de sus hombres, el héroe sobrevivió aferrándose a la higuera sobre Caribdis."
48,Circe,Mediterráneo,Griega,Hechicera,Hechicera divina que transformó a los hombres de Odiseo en cerdos,Metamorfosis; pociones mágicas; magia herbal; inmortalidad,"Circe era hija del dios sol Helios y la oceánide Persa, hermana de Eetes rey de Cólquide y tía de Medea. Vivía en la isla de Eea con sus animales domésticos que en realidad eran hombres que ella había transformado. Cuando los hombres de Odiseo llegaron ella los convirtió en cerdos pero Odiseo resistió su magia gracias a la hierba moly que Hermes le proporcionó. Convivió con ella un año y tuvo hijos. También ayudó a Odiseo explicándole cómo descender al inframundo."
49,Medea,Mediterráneo,Griega,Hechicera,Hechicera y sacerdotisa de Hécate nieta de Helios,Magia poderosa; venenos; profecía; inmortalidad parcial,"Medea era sacerdotisa de Hécate y nieta del dios Sol Helios. Se enamoró de Jasón cuando llegó a Cólquide con locura divina enviada por Afrodita. Le enseñó los hechizos para superar las pruebas, adormeció al dragón guardián del vellocino y huyó con él matando a su propio hermano para retrasar a sus perseguidores. Cuando Jasón la traicionó casándose con otra, ella se vengó con un horror que estremeció a los propios dioses: mató a sus hijos con Jasón."
50,Caribdis,Mediterráneo,Griega,Criatura,Remolino monstruoso que devora barcos enteros,Succión devastadora; remolinos gigantes; poder marino primordial,"Caribdis según algunas tradiciones fue originalmente una hija de Poseidón y Gea que robó bueyes a Heracles y fue castigada por Zeus siendo convertida en el remolino infernal. Su castigo eterno era tragar y vomitar el agua del mar tres veces al día en un ciclo ininterrumpible. Junto con Escila representa el dilema de elegir entre dos males inevitables, dando origen a la expresión de estar entre Escila y Caribdis equivalente al moderno estar entre la espada y la pared."
51,Odin,Escandinavia,Nórdica,Dios,Padre de los dioses nórdicos y dios de la sabiduría,Sabiduría infinita; magia rúnica; control de la guerra y la muerte; visión profética,Odin sacrificó su ojo derecho en el pozo de Mimir para beber de sus aguas y obtener sabiduría infinita. También se colgó del árbol del mundo Yggdrasil durante nueve días sin comer ni beber para descubrir las runas. Recorría Midgard disfrazado de anciano con capa azul y sombrero de ala ancha acompañado de sus dos cuervos Hugin el Pensamiento y Munin la Memoria que le informaban de todo lo que ocurría en el mundo. Sabía que moriría devorado por Fenrir en el Ragnarök.
52,Thor,Escandinavia,Nórdica,Dios,Dios del trueno y protector de la humanidad,Control del rayo; fuerza colosal; Mjolnir; vuelo,"Thor era el hijo favorito de Odin y el más amado por los humanos nórdicos pues los protegía de los jötnar gigantes. Su martillo Mjolnir, forjado por los enanos Sindri y Brokk, era el arma más temida de los Nueve Mundos. En una ocasión los gigantes robaron el Mjolnir y Thor tuvo que disfrazarse de novia para recuperarlo. También pescó a Jörmungandr la serpiente del mundo con una cabeza de buey como cebo casi sacándola del océano antes de que su barco casi naufragara."
53,Freya,Escandinavia,Nórdica,Diosa,Diosa del amor la fertilidad y la guerra,Magia seiðr; vuelo con capa de plumas; control del amor y la guerra,"Freya, la más poderosa hechicera de los Aesir, montaba en un carro tirado por gatos y su capa de plumas de halcón le permitía volar entre mundos. Lloraba lágrimas de oro cuando pensaba en su esposo desaparecido Óðr. Recibía la mitad de los guerreros caídos en batalla llevándolos a su campo Fólkvangr mientras Odin recibía la otra mitad en el Valhalla. Enseñó la magia seiðr a Odin. Los gigantes la codiciaban constantemente y los dioses debían defenderla."
